pdf_page,id,filename,caption,description
99,Figure 2.60,Figure2.60_ASovietLPO50Flamethrower.png,"A Soviet LPO-50 flamethrower (source: Royal Armouries). 124 Most other nations have also removed these weapons from inventory today. 125 The term ‘napalm’ refers to a specific gelled fuel mixture developed in the United States, with a thickening agent primarily constituted of co-precipitated aluminium salts of naphthenic and palmitic acids, hence ‘na-palm’ (Neer, 2015). 126 Most flame projectors used for agricultural purposes (weed burning, for example) use flammable compressed gasses (primarily propane) as their fuel, rather than a pressurised liquid or gel fuel.",Visual element described by the caption.
100,Figure 2.61,Figure2.61_TwoLightProjectors.png,"Two light projectors. left: a Leach–Gamage Catapult, which used elastic rubber tubing to store mechanical energy. Right: a West Spring Gun, which employed several coiled springs to achieve a similar effect [not to scale] (sources: Imperial War Museum; Australian War Memorial).",Visual element described by the caption.
101,Figure 2.62,Figure2.62_AnImprovisedLightProjectorUsedToProjectCraftProduced.png,"An improvised light projector, used to project craft-produced high explosive munitions in Syria (source: AFP).",Visual element described by the caption.
103,Figure 2.63,Figure2.63_ASelectionOfDrillAndDummyWeaponsIntended.png,"A selection of drill and dummy weapons intended variously for military, law enforcement, and/or civilian users [not to scale] (sources: SFTD; ASMC; ASP; Cowan’s Auctions; IMA).",Visual element described by the caption.
104,Figure 2.64,Figure2.64_TwoBlankFiringWeaponsOfHandgunFormNotTo.png,"Two blank-firing weapons of handgun form [not to scale] (sources: EKOL; Allcock’s). 128 A UK-legal blank-firing BBM Glock replica, for example, vents firing gases from the top of its chamber, whereas the variant sold on the European continent vents through the muzzle and generally functions like a conventional (blowback- operated) self-loading pistol.",Visual element described by the caption.
105,Figure 2.65,Figure2.65_AVarietyOfBlankFiringWeaponsNotToScale.png,A variety of blank-firing weapons [not to scale] (sources: Russ Guns; Rohm; North Weapon).,Visual element described by the caption.
106,Figure 2.66,Figure2.66_TwoAirbowsABenjaminAIRBOW.png,"Two airbows, a Benjamin AIRBOW (top) and an Umarex Air Javelin (bottom) [not to scale] (sources: Benjamin; Umarex).",Visual element described by the caption.
107,Figure 2.67,Figure2.67_FourAirGunsTopToBottomGamoBoxer.png,"Four air guns, top to bottom: Gamo Boxer; FX Airguns Maverick; Air Arms S410; Umarex UX Patrol (sources: Gamo; FX Airguns; Uttings; Umarex).",Visual element described by the caption.
108,Figure 2.68,Figure2.68_TwoNonFiringReplicaHandgunsNotToScale.png,"Two non-firing replica handguns [not to scale] (sources: Replica Firearms; Wolf Armouries). 130 For classification purposes, reproduction firearms are often no different than the originals which they copy, although some will be made with operating systems or other features distinct from the original weapon they copy (e.g., semi-automatic variants of historic military weapons capable of automatic fire). As such, whilst reproduction firearms should be classified as any other firearm under ARCS, they will not necessarily be classified in the same manner as the weapons they copy. 131 In several countries, a brightly coloured barrel plug is mandatory, for example.",Visual element described by the caption.
109,Figure 2.69,Figure2.69_TwoReplicaRiflesBothOfTheAirsoftType.png,"Two replica rifles, both of the ‘airsoft’ type [not to scale] (sources: Patrol Base UK). Directed-energy Weapons Directed-energy weapon A weapon achieving less-lethal or lethal effects by means of directed energy. Directed-energy weapons (DEWs), like flamethrowers, do not employ munitions to achieve their intended effects upon target. These may be lethal or less-lethal, but are primarily thermal effects caused by the agitation of molecules by means of laser light, microwave energy, or high-energy particles (particle beams).132 By the 1990s, large vehicle- or installation-mounted systems were capable of using directed energy to achieve destructive effects at a distance (Rogoway, 2020a). Man-portable systems of similar power have remained firmly in the realm of science fiction. As technology has progressed, however, hand-held systems with less-lethal or minor destructive effects have become viable and have even been fielded. At the time of writing, their useful destructive effects are limited to blinding of electro-optical sensors or the human eye. This latter usage was prohibited by the 1995 international ‘Protocol on Blinding Laser Weapons (Protocol IV to the 1980 Convention)’ (Human Rights Watch, 2000) and the use of lasers for blinding purposes has been very rarely observed in conflict zones thus far (ARES, n.d.).133 Many directed-energy weapons are advertised as being ‘less-lethal’ or ‘non-lethal’. Terms such as ‘temporary blindness’, for example, are used to describe the intended effects of some laser ‘dazzler’ weapons. At some 132 The word ‘laser’ being derived from the acronym ‘Light Amplification by Stimulated Emission of Radiation.’ 133 At the time of writing, China is the only known user of blinding—rather than dazzling—lasers. See Cronin & Neuhard, 2020.",Visual element described by the caption.
111,Figure 2.70,Figure2.70_AnElectroMuscularIncapacitationDevice.png,An electro-muscular incapacitation device (TASER X26) and a riot control agent (RCA) dispenser (SABRE OC and CS spray) [not to scale] (sources: Wikimedia Commons; Security Equipment Corporation).,Visual element described by the caption.
111,Figure 2.71,Figure2.71_LessLethalWeaponsCapableOfFiringKineticImpactProjectiles.png,"Less-lethal weapons capable of firing ‘kinetic impact’ projectiles, subduing subjects through pain/shock, and sometimes with additional effects such as RCA [not to scale] (sources: Barneby’s; FNH USA; N.R. Jenzen-Jones/ARES; Rosoboronexport).",Visual element described by the caption.
112,Figure 2.72,Figure2.72_ASelectionOfFlareGunsIntendedForBoth.png,A selection of flare guns intended for both military and civilian use [not to scale] (sources: Collector’s Firearms; Rock Island Auction Company; CIL; Arundel Militaria).,Visual element described by the caption.
