pdf_page,kind,id,filename,caption,description
200,Image,Image 5.38,Image5.38_ASoviet23152BMmCannonCartridge.png,A Soviet 23 × 152B mm cannon cartridge,Photograph/illustration of the item described in the caption.
202,Image,Image 5.39,Image5.39_SomeSampleCartridgesUsedWithGrenadeLaunchers.png,Some sample cartridges used with grenade launchers,Photograph/illustration of the item described in the caption.
203,Table,Table 5.3,Table5.3_SelectedGrenadeLauncherCartridgesInGlobalMilitaryService.png,Selected grenade launcher cartridges in global military service,Table presenting structured data or a comparison relevant to the caption.
204,Image,Image 5.40,Image5.40_ExamplesOfRecentGrenadeLauncherCartridges.png,Examples of recent grenade launcher cartridges,Photograph/illustration of the item described in the caption.
204,Image,Image 5.41,Image5.41_TheRaytheonPike40MmGuidedMissile.png,The Raytheon Pike 40 mm guided missile,Photograph/illustration of the item described in the caption.
205,Box,Box 5.3,Box5.3_CommonTypesOfExplosiveWarheadsUsedInLight.png,Common types of explosive warheads used in light weapons ammunition,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
206,Figure,Figure 5.1,Figure5.1_SomeOfTheKeyPhysicalFeaturesOfGrenade.png,Some of the key physical features of grenade launcher ammunition,Annotated diagram highlighting key physical features described in the caption.
207,Image,Image 5.42,Image5.42_TwoUSM3854053SRMmPractice.png,"Two US M385 40 × 53SR mm practice cartridges in links, as used with",Photograph/illustration of the item described in the caption.
208,Figure,Figure 5.2,Figure5.2_SampleMarkingsOnABulgarianArsenalRLVHEF140.png,Sample markings on a Bulgarian Arsenal RLV-HEF-1 40 × 46SR mm HE-FRAG cartridge,Annotated photo/diagram showing selected markings described in the caption.
209,Figure,Figure 5.3,Figure5.3_ArrangementOfATypicalMortarProjectile.png,Arrangement of a typical mortar projectile,Diagram illustrating the arrangement/composition described in the caption.
210,Image,Image 5.43,Image5.43_XM395PrecisionGuided.png,XM395 precision guided,Photograph/illustration of the item described in the caption.
211,Image,Image 5.44,Image5.44_ARangeOf60Mm81Mm.png,"A range of 60 mm, 81 mm,",Photograph/illustration of the item described in the caption.
212,Image,Image 5.45,Image5.45_MarkingsOnABritish.png,Markings on a British,Photograph/illustration of the item described in the caption.
212,Image,Image 5.46,Image5.46_MarkingsOnVariousIgnition.png,Markings on various ignition,Photograph/illustration of the item described in the caption.
213,Box,Box 5.4,Box5.4_USAmmunitionMarkingColourScheme.png,US ammunition marking colour scheme,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
213,Table,Table 5.4,Table5.4_SelectedMarkingColoursOnUSAmmunition.png,Selected marking colours on US ammunition,Table presenting structured data or a comparison relevant to the caption.
215,Image,Image 5.47,Image5.47_ARangeOfCartridgesProducedForUseWith.png,A range of cartridges produced for use with the Carl-Gustaf shoulder-fired,Photograph/illustration of the item described in the caption.
215,Image,Image 5.48,Image5.48_BulgarianPG7ProjectilesInTheProcessOfBeing.png,Bulgarian PG-7 projectiles in the process of being assembled,Photograph/illustration of the item described in the caption.
217,Image,Image 5.49,Image5.49_SovietBK881MType82MmRecoillessHEATProjectile.png,Soviet BK-881M type 82 mm recoilless HEAT projectile,Photograph/illustration of the item described in the caption.
217,Image,Image 5.50,Image5.50_AnEarlySovietRPOAShoulderFired93MmRecoilless.png,An early Soviet RPO-A shoulder-fired 93 mm recoilless weapon showing,Photograph/illustration of the item described in the caption.
218,Image,Image 5.51,Image5.51_MarkingsOnABulgarianPG7MProjectileForThe.png,Markings on a Bulgarian PG-7M projectile for the RPG-7 series of,Photograph/illustration of the item described in the caption.
218,Image,Image 5.52,Image5.52_MarkingsOnTheBaseOfA106Mm.png,Markings on the base of a 106 mm,Photograph/illustration of the item described in the caption.
219,Box,Box 5.5,Box5.5_RPG7ProjectileDesignations.png,RPG-7 projectile designations,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
219,Image,Image 5.53,Image5.53_PG7PExpellingChargesForTheRPG7ShoulderFiredRecoilless.png,PG-7P expelling charges for the RPG-7 shoulder-fired recoilless weapon,Photograph/illustration of the item described in the caption.
220,Figure,Figure 5.4,Figure5.4_ArrangementOfATypicalFinStabilizedRocket.png,Arrangement of a typical fin-stabilized rocket,Diagram illustrating the arrangement/composition described in the caption.
221,Image,Image 5.54,Image5.54_MarkingsOnAnIranian107MmRocketAnd.png,Markings on an Iranian 107 mm rocket and another rocket’s inner packaging,Photograph/illustration of the item described in the caption.
223,Figure,Figure 5.5,Figure5.5_MarkingsOnARussian9M113KonkursATGM.png,Markings on a Russian 9M113 Konkurs ATGM,Annotated photo/diagram showing selected markings described in the caption.
223,Image,Image 5.55,Image5.55_ExamplesOf.png,Examples of,Photograph/illustration of the item described in the caption.
224,Image,Image 5.56,Image5.56_External.png,External,Photograph/illustration of the item described in the caption.
225,Figure,Figure 5.6,Figure5.6_MarkingsOnOuterPackagingForARussian9M113.png,Markings on outer packaging for a Russian 9M113 Konkurs ATGM,Annotated photo/diagram showing selected markings described in the caption.
226,Image,Image 5.57,Image5.57_ExternalPackagingContainingYugoslavianM7281MmMortar.png,External packaging containing Yugoslavian M72 81 mm mortar projectiles,Photograph/illustration of the item described in the caption.
226,Image,Image 5.58,Image5.58_PackingListAttachedToTheInsideOfA.png,Packing list attached to the inside of a wooden crate containing Russian,Photograph/illustration of the item described in the caption.
227,Image,Image 5.59,Image5.59_DeliberatelyMislabelledCrateMarkedPartsOfBulldozerActually.png,"Deliberately mislabelled crate marked ‘Parts of bulldozer’, actually",Photograph/illustration of the item described in the caption.
228,Image,Image 5.60,Image5.60_WoodenOuterPackaging.png,Wooden outer packaging (shipping crate) containing two 9M32M type,Photograph/illustration of the item described in the caption.
228,Image,Image 5.61,Image5.61_MarkingsOnABulgarian.png,Markings on a Bulgarian,Photograph/illustration of the item described in the caption.
229,Figure,Figure 5.7,Figure5.7_DeliveryDocumentation.png,Delivery documentation (packing list) for 9P135M-1 ATGW launchers delivered to Libya in the late 1980s,Figure illustrating the concept described in the caption.
233,Image,Image 6.1,Image6.1_ACrudeImprovisedZipGunWithABarrel.png,A crude improvised ‘zip gun’ with a barrel fashioned from a length of car,Photograph/illustration of the item described in the caption.
236,Image,Image 6.2,Image6.2_AnEspeciallyCrudeImprovisedMuzzleLoadingHandgunFeaturingA.png,"An especially crude improvised muzzle-loading handgun, featuring a barrel",Photograph/illustration of the item described in the caption.
236,Image,Image 6.3,Image6.3_SlamFireShotgunsSeizedFromAMakeshiftWorkshopUsed.png,Slam-fire shotguns seized from a makeshift workshop used by a gang in,Photograph/illustration of the item described in the caption.
237,Image,Image 6.4,Image6.4_ACrude.png,A crude,Photograph/illustration of the item described in the caption.
238,Image,Image 6.5,Image6.5_AConventionallyProducedM3SubMachineGun.png,A conventionally-produced M3 sub-machine gun (top) and a Luty style,Photograph/illustration of the item described in the caption.
239,Box,Box 6.1,Box6.1_3DPrintingAndImprovisedFirearms.png,3D printing and improvised firearms,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
240,Image,Image 6.6,Image6.6_ACopyOfThe1911A1SelfLoadingPistolProduced.png,A copy of the 1911A1 self-loading pistol produced using the direct,Photograph/illustration of the item described in the caption.
241,Image,Image 6.7,Image6.7_AStillFromAnIslamicStatePropagandaVideo.png,A still from an Islamic State propaganda video showing a craft-produced,Photograph/illustration of the item described in the caption.
241,Image,Image 6.8,Image6.8_ASovietS5Rocket.png,A Soviet S-5 rocket (top) and an improvised shoulder-fired rocket launcher,Photograph/illustration of the item described in the caption.
242,Box,Box 6.2,Box6.2_ArtisanProduction.png,‘Artisan’ production,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
243,Image,Image 6.9,Image6.9_APakistaniCraftProducedBoltActionRifleChamberedForThe.png,A Pakistani craft-produced bolt-action rifle chambered for the 7 × 57 mm,Photograph/illustration of the item described in the caption.
244,Image,Image 6.10,Image6.10_MarkingsOnAnAKTypeSelfLoadingRifleCraftProduced.png,Markings on an AK-type self-loading rifle craft produced in Pakistan,Photograph/illustration of the item described in the caption.
245,Image,Image 6.11,Image6.11_AnAKTypeSelfLoadingRifleCraftProducedInPakistan.png,"An AK-type self-loading rifle craft produced in Pakistan, without the",Photograph/illustration of the item described in the caption.
246,Box,Box 6.3,Box6.3_CounterfeitWeapons.png,Counterfeit weapons,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
246,Image,Image 6.12,Image6.12_ExposedSlidePortionOfACraftProducedCopyOf.png,Exposed slide portion of a craft-produced copy of the Colt 1911,Photograph/illustration of the item described in the caption.
247,Image,Image 6.13,Image6.13_AnExampleOfTheIllicitCroatianDesignTypically.png,An example of the illicit Croatian design typically marked ‘Intratec,Photograph/illustration of the item described in the caption.
249,Image,Image 6.14,Image6.14_A6P42SeriesTraumaticPistolItselfADesign.png,"A 6P42 series traumatic pistol, itself a design originally based on the",Photograph/illustration of the item described in the caption.
254,Image,Image 6.15,Image6.15_ThreeVersionsOfAPMTypeSelfLoadingHandgun.png,Three versions of a PM-type self-loading handgun,Photograph/illustration of the item described in the caption.
255,Box,Box 6.4,Box6.4_Capability.png,Capability,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
255,Image,Image 6.16,Image6.16_ATypicalPenTypeZipGun.png,A typical pen-type zip gun,Photograph/illustration of the item described in the caption.
257,Image,Image 6.17,Image6.17_ImprovisedMortarProjectilesConvertedFromGasCylindersSyria.png,"Improvised mortar projectiles converted from gas cylinders, Syria, 2013",Photograph/illustration of the item described in the caption.
259,Image,Image 6.18,Image6.18_ImprovisedAmmunition.png,Improvised ammunition,Photograph/illustration of the item described in the caption.
260,Image,Image 6.19,Image6.19_AnAmericanMichiganArmsWolverineInLineMuzzleLoadingRifle.png,An American Michigan Arms Wolverine in-line muzzle-loading rifle,Photograph/illustration of the item described in the caption.
262,Image,Image 6.20,Image6.20_AProducersWorkshopWithSelectedHandToolsNigeria.png,"A producer’s workshop with selected hand tools, Nigeria",Photograph/illustration of the item described in the caption.
267,Box,Box 7.1,Box7.1_UnloadAndClearProcedures.png,Unload and clear procedures,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
274,Image,Image 7.1,Image7.1_AHandDrawnSiteExploitationSketch.png,A hand-drawn site exploitation sketch,Photograph/illustration of the item described in the caption.
280,Figure,Figure 7.1,Figure7.1_MarkingsOnAKTypeRifles.png,Markings on AK-type rifles,Annotated photo/diagram showing selected markings described in the caption.
282,Image,Image 7.2,Image7.2_PalestinianIslamicJihadAlQudsBrigadesMemberWithBelgian.png,Palestinian Islamic Jihad al-Quds Brigades member with Belgian FN Herstal,Photograph/illustration of the item described in the caption.
283,Image,Image 7.3,Image7.3_ComparativeStudyOfAK101.png,"Comparative study of AK-101 (top) with magazine profile marked in purple,",Photograph/illustration of the item described in the caption.
285,Image,Image 7.4,Image7.4_AliAndHisFellowFightersDuringThe2011.png,Ali and his fellow fighters during the 2011 Libyan Civil War,Photograph/illustration of the item described in the caption.
287,Image,Image 7.5,Image7.5_AnAK103RifleInTheHandsOfA.png,An AK-103 rifle in the hands of a militant from the National Resistance,Photograph/illustration of the item described in the caption.
287,Image,Image 7.6,Image7.6_TheSameModelOfRifleWithMilitantsFrom.png,The same model of rifle with militants from the ‘naval commando’ unit of,Photograph/illustration of the item described in the caption.
288,Image,Image 7.7,Image7.7_AK103RiflesInTheHandsOfIslamicState.png,"AK-103 rifles in the hands of Islamic State fighters in Libya, 2015188",Photograph/illustration of the item described in the caption.
288,Image,Image 7.8,Image7.8_AK1032RifleDocumentedForSaleViaSocialMedia.png,"AK-103-2 rifle documented for sale via social media in Iraq, 2016",Photograph/illustration of the item described in the caption.
289,Map,Map 7.1,Map7.1_MappingTheProliferationOfAK103TypeRiflesConnected.png,Mapping the proliferation of AK-103 type rifles connected to Libya,"Map visualization illustrating locations, flows, or geographic distribution described in the caption."
293,Table,Table 8.1,Table8.1_SourcesOfDataOnAuthorizedTransfers.png,Sources of data on authorized transfers,Table presenting structured data or a comparison relevant to the caption.
295,Map,Map 8.1,Map8.1_ExcerptFromAlbaniasNationalReportOnExportsOf.png,"Excerpt from Albania’s national report on exports of military goods, 2014","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
296,Map,Map 8.2,Map8.2_ExcerptFromTheEUsAnnualReportOnImports.png,"Excerpt from the EU’s annual report on imports and exports of military goods and technologies, 2015 (exports to Iraq)","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
296,Table,Table 8.2,Table8.2_EUCommonMilitaryListCategories1To4.png,"EU Common Military List, categories 1 to 4",Table presenting structured data or a comparison relevant to the caption.
297,Table,Table 8.3,Table8.3_StrengthsAndLimitationsOfNationalReports.png,Strengths and limitations of national reports,Table presenting structured data or a comparison relevant to the caption.
298,Map,Map 8.4,Map8.4_SelectHarmonizedSystem.png,"Select Harmonized system (HS) commodity categories that include small arms, light weapons, ammunition, parts, and accessories","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
301,Map,Map 8.3,Map8.3_GlobalTrendsInSmallArmsImportsByRegion.png,"Global trends in small arms imports by region, as reported to UN Comtrade (USD million), 2001–14","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
302,Map,Map 8.5,Map8.5_ValueOfSmallArmsSuppliedToTheAmericas.png,"Value of small arms supplied to the Americas, by subregion, as reported to UN Comtrade (USD million), 2001–14","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
303,Map,Map 8.6,Map8.6_ExportsOfMilitaryFirearmsAndOtherItemsFrom.png,"Exports of military firearms and other items from the United States as recorded under HS code 930190, 2006–15","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
304,Map,Map 8.7,Map8.7_DataOnWeaponSightsImportedByChilePeru.png,"Data on weapon sights imported by Chile, Peru, and Uruguay, 2007–10","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
306,Map,Map 8.4,Map8.4_DataOnSmallArmsExportsReportedByChina.png,"Data on small arms exports reported by China (top) and by four trade partners in Africa (bottom), 2010–14","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
307,Map,Map 8.8,Map8.8_StrengthsAndLimitationsOfUNComtrade.png,Strengths and limitations of UN Comtrade,"Map visualization illustrating locations, flows, or geographic distribution described in the caption."
309,Map,Map 8.5,Map8.5_ExcerptsFromTheRussianFederationsSubmissionToThe.png,Excerpts from the Russian Federation’s submission to the UN Register regarding conventional arms exported in 2009 (top) and 2012 (bottom),"Map visualization illustrating locations, flows, or geographic distribution described in the caption."
310,Map,Map 8.6,Map8.6_ExcerptFromTheCzechRepublicsSubmissionToThe.png,Excerpt from the Czech Republic’s submission to the UN Register regarding small arms exported in 2010,"Map visualization illustrating locations, flows, or geographic distribution described in the caption."
311,Map,Map 8.9,Map8.9_StrengthsAndLimitationsOfTheUNRegisterOf.png,Strengths and limitations of the UN Register of Conventional Arms,"Map visualization illustrating locations, flows, or geographic distribution described in the caption."
314,Image,Image 8.1,Image8.1_ScreenshotsFromVideoOfVenezuelanMilitaryParade2009.png,"Screenshots from video of Venezuelan military parade, 2009",Photograph/illustration of the item described in the caption.
315,Map,Map 8.10,Map8.10_StrengthsAndLimitationsOfUsingSocialMediaTo.png,Strengths and limitations of using social media to research arms flows,"Map visualization illustrating locations, flows, or geographic distribution described in the caption."
317,Map,Map 8.7,Map8.7_USDefenseDepartmentContractAwardNoticeRegardingThe.png,"US Defense Department contract award notice regarding the procurement of 40 mm grenade launchers for Iraq, 2016","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
318,Box,Box 8.1,Box8.1_TipsForResearchersAnalysingDataOnAuthorizedArms.png,Tips for researchers: analysing data on authorized arms flows,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
324,Map,Map 9.1,Map9.1_SmallArmsTakenIntoCustodyByUSCBP.png,"Small arms taken into custody by US CBP, 2009–11","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
326,Image,Image 9.1,Image9.1_WeaponsSeizedInAnArmsCacheAfghanistan2011.png,"Weapons seized in an arms cache, Afghanistan, 2011",Photograph/illustration of the item described in the caption.
328,Map,Map 9.2,Map9.2_FirearmsTakenIntoCustodyByTheLAPD2009.png,"Firearms taken into custody by the LAPD, 2009","Map visualization illustrating locations, flows, or geographic distribution described in the caption."
329,Image,Image 9.2,Image9.2_RedactedIntelligenceReportsObtainedFromTheUSGovernment.png,Redacted intelligence reports obtained from the US government (left) and,Photograph/illustration of the item described in the caption.
331,Image,Image 9.3,Image9.3_ShipManifestFoundOnThe.png,Ship manifest found on the,Photograph/illustration of the item described in the caption.
331,Image,Image 9.4,Image9.4_PackingListFoundInACrateOf.png,Packing list found in a crate of,Photograph/illustration of the item described in the caption.
332,Image,Image 9.5,Image9.5_SocialMediaImagesOfMANPADSAcquiredByArmed.png,"Social media images of MANPADS acquired by armed groups in Syria,",Photograph/illustration of the item described in the caption.
333,Box,Box 9.1,Box9.1_MANPADSAndSocialMedia.png,MANPADS and social media,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
334,Image,Image 9.6,Image9.6_FakeStingerMissileFeaturedInAVideoReportedly.png,Fake ‘Stinger missile’ featured in a video reportedly taken in Ukraine,Photograph/illustration of the item described in the caption.
335,Box,Box 9.2,Box9.2_TipsForAnalysingDataOnIllicitSmallArms.png,Tips for analysing data on illicit small arms and light weapons,"Boxed sidebar containing focused explanatory text, definitions, or a case example described in the caption."
